
"LANP - 4 Digit Level by ENGLP"
"Counting: Persons, Place of Usual Residence"

,"ENGLP","Speaks English only","Speaks other language and speaks English: Very well","Speaks other language and speaks English: Well","Speaks other language and speaks English: Not well","Speaks other language and speaks English: Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Total",
,"LANP - 4 Digit Level",
,"Aboriginal English, so described",0,770,228,29,20,0,13,1060,
,"Adnymathanha",0,100,30,4,0,0,17,151,
,"Alawa",0,11,6,0,0,0,0,17,
,"Alngith",0,0,0,0,0,0,0,0,
,"Alyawarr",0,665,764,299,64,0,66,1858,
,"Amurdak",0,0,0,0,0,0,0,0,
,"Anindilyakwa",0,922,348,152,45,0,19,1486,
,"Anmatyerr, nec",0,344,429,116,15,0,30,934,
,"Anmatyerr, nfd",0,0,0,0,0,0,0,0,
,"Antekerrepenh",0,0,0,0,0,0,0,0,
,"Antikarinya",0,4,0,3,0,0,0,7,
,"Arabana",0,9,0,0,0,0,0,9,
,"Arandic, nec",0,0,0,0,0,0,0,0,
,"Arandic, nfd",0,0,0,0,0,0,0,0,
,"Arnhem Land and Daly River Region Languages, nec",0,9,4,0,0,0,0,13,
,"Arnhem Land and Daly River Region Languages, nfd",0,9,14,0,0,0,0,23,
,"Arrernte, nec",0,596,513,163,26,0,24,1322,
,"Arrernte, nfd",0,134,63,27,0,0,6,230,
,"Australian Indigenous Languages, nfd",0,1851,570,178,41,0,102,2742,
,"Baanbay",0,0,0,0,0,0,0,0,
,"Badimaya",0,0,0,0,0,0,0,0,
,"Bandjalang",0,110,16,5,0,0,0,131,
,"Banyjima",0,65,17,0,0,0,4,86,
,"Barababaraba",0,0,0,0,0,0,0,0,
,"Bardi",0,129,42,0,3,0,0,174,
,"Batjala",0,6,0,0,0,0,0,6,
,"Bidjara",0,10,0,0,0,0,0,10,
,"Bilinarra",0,11,40,6,0,0,0,57,
,"Bunuba",0,36,50,8,3,0,0,97,
,"Burarra",0,370,438,95,24,0,5,932,
,"Burarran, nfd",0,0,0,0,0,0,0,0,
,"Burraran, nec",0,0,0,0,0,0,0,0,
,"Cape York Peninsula Languages, nec",0,142,68,23,7,0,3,243,
,"Cape York Peninsula Languages, nfd",0,7,3,0,0,0,0,10,
,"Central Anmatyerr",0,6,0,0,0,0,0,6,
,"Daatiwuy",0,4,3,3,0,0,0,10,
,"Dadi Dadi",0,0,0,0,0,0,0,0,
,"Dalabon",0,67,5,0,0,0,0,72,
,"Dhalwangu",0,14,17,6,3,0,0,40,
,"Dhanggatti",0,9,0,0,0,0,0,9,
,"Dhangu, nec",0,0,0,0,0,0,0,0,
,"Dhangu, nfd",0,13,12,4,0,0,0,29,
,"Dharawal",0,16,0,0,0,0,0,16,
,"Dhay'yi, nec",0,0,0,0,0,0,0,0,
,"Dhay'yi, nfd",0,5,8,7,3,0,0,23,
,"Dhuwal, nec",0,15,3,0,4,0,0,22,
,"Dhuwal, nfd",0,62,135,24,12,0,0,233,
,"Dhuwala, nec",0,0,0,0,0,0,0,0,
,"Dhuwala, nfd",0,37,41,4,7,0,0,89,
,"Dhuwaya",0,57,142,83,3,0,0,285,
,"Diyari",0,8,0,0,0,0,0,8,
,"Djabugay",0,24,3,0,0,0,0,27,
,"Djabwurrung",0,15,0,0,0,0,0,15,
,"Djambarrpuyngu",0,764,1320,612,240,0,37,2973,
,"Djangu",0,0,0,0,0,0,0,0,
,"Djapu",0,15,11,0,0,0,0,26,
,"Djarrwark",0,0,0,0,0,0,0,0,
,"Djinang, nec",0,8,0,0,0,0,0,8,
,"Djinang, nfd",0,37,31,31,6,0,0,105,
,"Djinba",0,0,0,0,0,0,0,0,
,"Djinba, nec",0,0,0,0,0,0,0,0,
,"Djinba, nfd",0,0,6,3,3,0,0,12,
,"Dyirbal",0,9,0,5,0,0,0,14,
,"Eastern Anmatyerr",0,0,0,0,0,3,0,3,
,"Eastern Arrernte",0,186,223,76,27,0,15,527,
,"Galpu",0,51,58,26,12,0,0,147,
,"Gambera",0,0,0,0,0,0,0,0,
,"Gamilaraay",0,70,5,8,0,0,4,87,
,"Ganalbingu",0,6,16,6,5,0,0,33,
,"Garrwa",0,61,18,6,0,0,0,85,
,"Garuwali",0,0,0,0,0,0,0,0,
,"Girramay",0,33,18,12,0,0,0,63,
,"Githabul",0,5,3,0,0,0,0,8,
,"Golumala",0,0,0,0,0,0,0,0,
,"Gooniyandi",0,45,56,4,0,0,0,105,
,"Gudanji",0,0,3,0,0,0,0,3,
,"Gudjal",0,0,0,0,0,0,0,0,
,"Gumatj",0,126,40,12,5,0,0,183,
,"Gumbaynggir",0,51,6,4,0,0,0,61,
,"Gun-nartpa",0,51,14,23,0,0,0,88,
,"Gundjeihmi",0,20,4,0,0,0,7,31,
,"Gupapuyngu",0,67,61,20,6,0,3,157,
,"Gurindji",0,234,204,55,10,0,31,534,
,"Gurindji Kriol",0,0,0,0,0,0,0,0,
,"Gurr-goni",0,16,18,0,3,0,0,37,
,"Guugu Yimidhirr",0,649,288,23,16,0,3,979,
,"Guyamirrilili",0,0,0,0,0,0,0,0,
,"Iwaidja",0,110,16,8,3,0,0,137,
,"Jaminjung",0,0,0,0,0,0,0,0,
,"Jaru",0,377,159,24,3,0,8,571,
,"Jawi",0,0,0,0,0,0,0,0,
,"Jawoyn",0,15,13,3,0,0,0,31,
,"Jingulu",0,24,4,0,0,0,0,28,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",0,379,436,125,33,0,11,984,
,"Kanai",0,3,0,0,0,0,0,3,
,"Karajarri",0,13,22,5,0,0,0,40,
,"Kariyarra",0,5,0,0,0,0,0,5,
,"Kartujarra",0,53,55,7,4,0,0,119,
,"Kaurna",0,45,8,0,0,0,4,57,
,"Kayardild",0,5,0,0,0,0,0,5,
,"Kaytetye",0,52,81,27,0,0,12,172,
,"Keerray-Woorroong",0,0,0,0,0,0,0,0,
,"Kija",0,103,55,10,0,0,0,168,
,"Kimberley Area Languages, nec",0,12,5,0,0,0,0,17,
,"Kimberley Area Languages, nfd",0,0,4,0,0,0,0,4,
,"Koko-Bera",0,18,13,0,0,0,0,31,
,"Kriol",0,3322,2251,852,255,0,101,6781,
,"Kugu Muminh",0,0,0,0,0,0,0,0,
,"Kukatha",0,26,0,0,0,0,0,26,
,"Kukatja",0,139,238,114,18,0,11,520,
,"Kuku Yalanji",0,206,35,9,0,0,4,254,
,"Kunbarlang",0,9,11,0,0,0,0,20,
